aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter
101,강서한강월드메르디앙,2006,개인, , ,99000,12,3,2025,중개거래,서울 강서구,84.9,7,1462,N,25.05.23,11500,개인,가양동,19,0,2025-03,1
209,가양2단지(성지),1992,개인, , ,74500,10,3,2025,중개거래,서울 강서구,49.56,12,1461,N,25.07.03,11500,개인,가양동,33,0,2025-03,1
217,방화그린,1993,개인, , ,52000,18,3,2025,중개거래,서울 강서구,49.77,15,839,N,25.06.25,11500,개인,방화동,32,1,2025-03,1
 ,가양2단지(성지),1992,개인, , ,51000,15,3,2025,중개거래,서울 강서구,34.44,13,1461,N, ,11500,개인,가양동,33,0,2025-03,1
102,극동상록수,1999,개인, , ,95000,21,3,2025,중개거래,서울 강서구,84.96,15,280,N,25.07.23,11500,개인,염창동,26,1,2025-03,1
 ,드림시드아파트1차,2017,개인, , ,23000,21,3,2025,중개거래,서울 강서구,35.48,12,899-13,N,25.06.04,11500,개인,화곡동,8,0,2025-03,1
101,신안,1993,개인, , ,94500,26,3,2025,중개거래,서울 강서구,84.97,3,422,N,25.06.27,11500,개인,마곡동,32,0,2025-03,1
102,우장산롯데캐슬,2003,개인, , ,99000,8,3,2025,중개거래,서울 강서구,85.0,1,1145,N,25.06.09,11500,개인,화곡동,22,0,2025-03,1
 ,동신대아,1993,개인, , ,118000,15,3,2025,중개거래,서울 강서구,101.97,11,1459,N, ,11500,개인,가양동,32,0,2025-03,1
 ,마곡서광(치현마을),1998,개인, , ,55000,15,3,2025,중개거래,서울 강서구,59.67,14,860,N, ,11500,개인,방화동,27,0,2025-03,1
203,마곡현대아파트,1999,개인, , ,75000,5,3,2025,중개거래,"경기 김포시, 서울 영등포구",84.95,3,1171,N,25.05.15,11500,개인,마곡동,26,0,2025-03,1
101,롯데캐슬,2005,개인, , ,120000,11,3,2025,중개거래,서울 강서구,84.9519,1,272-11,N,25.05.15,11500,개인,염창동,20,0,2025-03,1
114,우장산힐스테이트,2005,개인, , ,139500,31,3,2025,중개거래,서울 강서구,84.98,9,657,N,25.07.01,11500,개인,내발산동,20,0,2025-03,1
103,롯데캐슬,2005,개인, , ,123000,10,3,2025,중개거래,서울 강서구,84.9519,4,272-11,N,25.06.16,11500,개인,염창동,20,0,2025-03,1
512,마곡수명산파크5단지,2008,개인, , ,83800,13,3,2025,중개거래,서울 강서구,59.84,5,749,N,25.06.04,11500,개인,내발산동,17,0,2025-03,1
910,가양도시개발9-2단지,1993,개인, , ,56500,25,3,2025,중개거래,서울 강서구,39.6,3,1490,N,25.06.09,11500,개인,가양동,32,0,2025-03,1
102,우장산힐스테이트,2005,개인, , ,142000,28,3,2025,중개거래,서울 강서구,84.98,11,657,N,25.07.29,11500,개인,내발산동,20,0,2025-03,1
 ,서부인터빌아파트,2002,개인, , ,59500,26,3,2025,중개거래,"서울 강서구, 서울 양천구",84.1439,10,1074-18,N,25.06.12,11500,개인,화곡동,23,0,2025-03,1
101,이너스내안에,2004,개인, , ,78000,28,3,2025,중개거래,서울 강서구,84.91,13,254-2,N,25.04.17,11500,개인,염창동,21,0,2025-03,1
613,마곡엠밸리6단지,2014,개인, , ,194000,19,3,2025,중개거래,서울 강서구,114.98,14,743,N,25.05.29,11500,개인,마곡동,11,0,2025-03,1
105,동아,1998,개인, , ,73000,16,3,2025,중개거래,서울 강서구,59.97,4,292,N,25.06.30,11500,개인,염창동,27,0,2025-03,1
106,대림경동아파트,1993,개인, , ,125000,10,3,2025,중개거래,서울 강서구,131.4,9,1474,N,25.05.22,11500,개인,가양동,32,0,2025-03,1
