aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter,estateAgentSggNmClean,aptAddress,isStationNearby,aptLat,aptLng,area_bin
506,방화5,1994,개인, , ,40000,31,3,2025,중개거래,서울 강서구,33.18,6,814,N,25.06.30,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 814,1,37.5771889702167,126.810252932489,30~60
615,가양6단지,1992,개인, , ,61500,22,3,2025,중개거래,서울 강서구,39.6,6,1485,N,25.06.20,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60
107,화곡푸르지오,2002,개인, , ,110900,8,3,2025,중개거래,서울 양천구,130.279,7,1091,N,25.06.10,11500,개인,화곡동,23,0,2025-03,1,서울 양천구,서울 양천구 화곡동 1091,0,,,120~150
205,가양2단지(성지),1992,개인, , ,50000,25,3,2025,중개거래,서울 강서구,34.44,6,1461,N,25.06.30,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1461,0,37.5704957193283,126.847174411361,30~60
 ,서부인터빌아파트,2002,개인, , ,59700,29,3,2025,중개거래,서울 강서구,84.1439,7,1074-18,N,25.06.25,11500,개인,화곡동,23,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1074-18,1,37.5409680962898,126.839450904964,60~90
124,강서힐스테이트,2015,개인, , ,162500,24,3,2025,중개거래,서울 강서구,152.1,16,1165,N,25.06.30,11500,개인,화곡동,10,1,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,
712,마곡엠밸리7단지,2014,개인, , ,201000,26,3,2025,중개거래,서울 강서구,114.86,14,743-4,N,25.06.20,11500,개인,마곡동,11,0,2025-03,1,서울 강서구,서울 강서구 마곡동 743-4,1,37.5648812125749,126.823376663134,90~120
 ,방화5,1994,개인, , ,40800,26,3,2025,중개거래,서울 강서구,33.18,11,814,N, ,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 814,1,37.5771889702167,126.810252932489,30~60
 ,동성,1993,개인,25.03.28,O,60000,27,3,2025,중개거래,서울 강서구,64.65,1,817,N, ,11500,개인,방화동,32,0,2025-03,1,서울 강서구,서울 강서구 방화동 817,1,37.579602932122,126.812182127338,60~90
107,가양강나루현대,1999,개인, , ,80000,22,3,2025,중개거래,서울 강서구,59.76,2,448-1,N,25.06.18,11500,개인,가양동,26,0,2025-03,1,서울 강서구,서울 강서구 가양동 448-1,1,37.5607561619781,126.856971359725,30~60
