aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter,estateAgentSggNmClean,aptAddress,isStationNearby,aptLat,aptLng,area_bin,nearestElementaryDistance,nearestElementaryName,nearestMiddleDistance,nearestMiddleName,isSchoolPremium
 ,강변,1992,개인,25.06.10,O,73000,29,3,2025,중개거래,서울 강서구,49.5,4,1475,N, ,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60,336.3626633132198,서울탑산초등학교,478.4224789287357,경서중학교,True
305,동아3,1999,개인, , ,105000,25,3,2025,중개거래,서울 강서구,84.87,15,258-1,N,25.07.25,11500,개인,염창동,26,1,2025-03,1,서울 강서구,서울 강서구 염창동 258-1,1,37.5501995704814,126.877425235008,60~90,495.30927108220317,서울염동초등학교,674.7036726064418,염창중학교,True
 ,동아3,1999,개인, , ,81500,24,3,2025,중개거래,서울 강서구,59.7,3,258-1,N, ,11500,개인,염창동,26,0,2025-03,1,서울 강서구,서울 강서구 염창동 258-1,1,37.5501995704814,126.877425235008,30~60,495.30927108220317,서울염동초등학교,674.7036726064418,염창중학교,True
607,가양6단지,1992,개인, , ,83500,4,3,2025,중개거래,서울 강서구,58.65,14,1485,N,25.06.30,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60,131.42417741845085,서울가양초등학교,258.69662257001545,경서중학교,True
 ,우장산타워빌,2002,개인, , ,69500,26,3,2025,중개거래,서울 강서구,83.8,3,704-2,N,25.06.16,11500,개인,내발산동,23,0,2025-03,1,서울 강서구,서울 강서구 내발산동 704-2,1,37.5519314698112,126.838349239637,60~90,117.56047414142421,서울내발산초등학교,442.15988901713104,명덕여자중학교,True
 ,길성그랑프리텔,2002,개인, , ,75000,21,3,2025,중개거래,서울 강서구,62.65,5,867,N,25.05.16,11500,개인,방화동,23,0,2025-03,1,서울 강서구,서울 강서구 방화동 867,1,37.569183074574,126.816100583063,60~90,205.61559221684672,서울송화초등학교,478.916180240422,마곡중학교,True
103,삼정그린코아,2001,개인, , ,104500,24,3,2025,중개거래,서울 강서구,84.358,8,282,N,25.06.09,11500,개인,염창동,24,0,2025-03,1,서울 강서구,서울 강서구 염창동 282,1,37.5479652131545,126.874704745545,60~90,481.0061788602296,서울양화초등학교,531.0029849922167,양동중학교,True
 ,세한(410-150),2001,개인, , ,30000,27,3,2025,중개거래,서울 강서구,72.99,2,410-150,N,25.05.16,11500,개인,화곡동,24,0,2025-03,1,서울 강서구,서울 강서구 화곡동 410-150,0,37.5379252985102,126.850759546102,60~90,424.4329091382669,서울화일초등학교,569.2617245105437,신정여자중학교,True
1동,마곡에이치밸리움,2023,개인, , ,72500,28,3,2025,중개거래,서울 강서구,52.218,5,764,N,25.05.29,11500,개인,내발산동,2,0,2025-03,1,서울 강서구,서울 강서구 내발산동 764,0,37.5571689288767,126.844084543192,30~60,439.9953992803738,서울등명초등학교,342.68488815385604,등명중학교,True
101,삼성하나로,1994,개인, , ,59500,29,3,2025,중개거래,서울 강서구,59.26,1,248-3,N,25.06.27,11500,개인,염창동,31,0,2025-03,1,서울 강서구,서울 강서구 염창동 248-3,0,37.5516297228771,126.871906542332,30~60,64.91773216036628,서울염동초등학교,292.7189065591618,염창중학교,True
